Sl.No,pH,Temperature,Taste,Odour,Fat,Turbidity,Colour,Grade
0,6.6,35,1,0,1,0,254,high
1,6.6,36,0,1,0,1,253,high
2,6.6,37,1,1,1,1,255,high
3,6.8,45,0,1,1,1,255,high
4,6.6,45,0,1,1,1,250,high
5,6.6,45,1,1,1,1,245,high
6,6.5,36,0,1,1,0,253,high
7,6.6,37,1,0,1,0,255,high
8,6.8,42,1,1,1,1,255,high
9,6.8,45,0,1,1,1,255,high
10,6.5,38,1,1,1,1,255,high
11,6.8,40,1,1,1,1,255,high
12,6.8,45,1,1,1,0,245,high
13,6.6,37,1,1,1,1,255,high
14,6.7,38,1,0,1,0,255,high
15,6.8,45,0,1,1,1,255,high
16,6.6,45,0,1,1,1,250,high
17,6.8,45,1,1,1,1,245,high
18,6.8,36,0,1,1,0,253,high
19,6.6,37,1,0,1,0,255,high
20,6.5,38,1,1,1,1,255,high
21,6.8,40,1,1,1,1,255,high
22,6.8,45,1,1,1,0,245,high
23,6.6,37,1,1,1,1,255,high
24,6.6,35,0,1,1,1,255,high
25,6.7,38,1,0,1,0,255,high
26,6.6,43,1,0,1,1,250,high
27,6.8,45,0,1,1,1,255,high
28,6.6,38,1,0,1,0,255,high
29,6.8,45,1,1,1,1,245,high
30,6.8,36,0,1,1,0,253,high
31,6.6,45,0,1,1,1,250,high
32,6.8,45,1,1,1,1,245,high
33,6.8,36,0,1,1,0,253,high
34,6.6,37,1,0,1,0,255,high
35,6.5,38,1,1,1,1,255,high
36,6.8,40,1,1,1,1,255,high
37,6.8,45,1,1,1,0,245,high
38,6.6,37,1,1,1,1,255,high
39,6.6,35,0,1,1,1,255,high
40,6.8,45,0,1,1,1,255,high
41,6.5,38,1,1,1,1,255,high
42,6.8,40,1,1,1,1,255,high
43,6.8,45,1,1,1,0,245,high
44,6.6,37,1,1,1,1,255,high
45,6.7,38,1,0,1,0,255,high
46,6.8,45,0,1,1,1,255,high
47,6.6,37,1,1,1,1,255,high
48,6.7,38,1,0,1,0,255,high
49,6.8,45,0,1,1,1,255,high
50,6.6,45,0,1,1,1,250,high
51,6.8,45,1,1,1,1,245,high
52,6.8,36,0,1,1,0,253,high
53,6.6,37,1,0,1,0,255,high
54,6.5,38,1,1,1,1,255,high
55,6.7,38,1,0,1,0,255,high
56,6.6,43,1,0,1,1,250,high
57,6.8,45,0,1,1,1,255,high
58,6.6,38,1,0,1,0,255,high
59,6.8,45,1,1,1,1,245,high
60,6.8,36,0,1,1,0,253,high
61,6.6,45,0,1,1,1,250,high
62,6.8,45,1,1,1,1,245,high
63,6.8,36,0,1,1,0,253,high
64,6.8,40,1,1,1,1,255,high
65,6.8,45,1,1,1,0,245,high
66,6.6,37,1,1,1,1,255,high
67,6.6,35,0,1,1,1,255,high
68,6.8,45,0,1,1,1,255,high
69,6.5,38,1,1,1,1,255,high
70,6.8,40,1,1,1,1,255,high
71,6.8,45,1,1,1,0,245,high
72,6.6,37,1,1,1,1,255,high
73,6.7,38,1,0,1,0,255,high
74,6.8,45,0,1,1,1,255,high
75,6.6,37,1,1,1,1,255,high
76,6.7,38,1,0,1,0,255,high
77,6.8,45,0,1,1,1,255,high
78,6.6,45,0,1,1,1,250,high
79,6.8,45,1,1,1,1,245,high
80,6.8,36,0,1,1,0,253,high
81,6.6,37,1,0,1,0,255,high
82,6.5,38,1,1,1,1,255,high
83,6.7,38,1,0,1,0,255,high
84,6.6,43,1,0,1,1,250,high
85,6.8,45,0,1,1,1,255,high
86,6.6,38,1,0,1,0,255,high
87,6.8,45,0,1,1,1,255,high
88,6.6,45,0,1,1,1,250,high
89,6.8,45,1,1,1,1,245,high
90,6.8,36,0,1,1,0,253,high
91,6.6,37,1,0,1,0,255,high
92,6.5,38,1,1,1,1,255,high
93,6.8,40,1,1,1,1,255,high
94,6.8,45,1,1,1,0,245,high
95,6.6,37,1,1,1,1,255,high
96,6.6,35,0,1,1,1,255,high
97,6.7,38,1,0,1,0,255,high
98,6.6,43,1,0,1,1,250,high
99,6.8,45,0,1,1,1,255,high
100,6.6,38,1,0,1,0,255,high
101,6.8,45,1,1,1,1,245,high
102,6.8,36,0,1,1,0,253,high
103,6.6,45,0,1,1,1,250,high
104,6.8,45,1,1,1,1,245,high
105,6.8,36,0,1,1,0,253,high
106,6.8,45,1,1,1,0,245,high
107,6.6,37,1,1,1,1,255,high
108,6.6,35,0,1,1,1,255,high
109,6.7,38,1,0,1,0,255,high
110,6.6,43,1,0,1,1,250,high
111,6.8,45,0,1,1,1,255,high
112,6.6,38,1,0,1,0,255,high
113,6.8,45,1,1,1,1,245,high
114,6.8,36,0,1,1,0,253,high
115,6.6,45,0,1,1,1,250,high
116,6.8,45,1,1,1,1,245,high
117,6.8,36,0,1,1,0,253,high
118,6.6,37,1,0,1,0,255,high
119,6.5,38,1,1,1,1,255,high
120,6.8,40,1,1,1,1,255,high
121,6.8,45,1,1,1,0,245,high
122,6.6,37,1,1,1,1,255,high
123,6.6,35,0,1,1,1,255,high
124,6.8,45,0,1,1,1,255,high
125,6.5,38,1,1,1,1,255,high
126,6.8,40,1,1,1,1,255,high
127,6.8,45,1,1,1,0,245,high
128,6.6,37,1,1,1,1,255,high
129,6.7,38,1,0,1,0,255,high
130,6.8,43,1,0,1,0,250,high
131,6.8,45,0,1,1,1,255,high
132,6.6,45,0,1,1,1,250,high
133,6.8,45,1,1,1,1,245,high
134,6.8,36,0,1,1,0,253,high
135,6.6,37,1,0,1,0,255,high
136,6.5,38,1,1,1,1,255,high
137,6.6,40,1,0,1,1,255,high
138,6.7,38,1,0,1,0,255,high
139,6.6,43,1,0,1,1,250,high
140,6.5,38,1,1,1,1,255,high
141,6.8,40,1,1,1,1,255,high
142,6.8,45,1,1,1,0,245,high
143,6.6,37,1,1,1,1,255,high
144,6.6,35,0,1,1,1,255,high
145,6.8,45,0,1,1,1,255,high
146,6.5,38,1,1,1,1,255,high
147,6.8,40,1,1,1,1,255,high
148,6.8,45,1,1,1,0,245,high
149,6.6,37,1,1,1,1,255,high
150,6.7,38,1,0,1,0,255,high
151,6.8,43,1,0,1,0,250,high
152,6.8,45,0,1,1,1,255,high
153,6.6,45,0,1,1,1,250,high
154,6.8,45,1,1,1,1,245,high
155,6.8,36,0,1,1,0,253,high
156,6.6,37,1,0,1,0,255,high
157,6.5,38,1,1,1,1,255,high
158,6.7,38,1,0,1,0,255,high
159,6.8,45,0,1,1,1,255,high
160,6.6,37,1,1,1,1,255,high
161,6.7,38,1,0,1,0,255,high
162,6.8,45,0,1,1,1,255,high
163,6.6,45,0,1,1,1,250,high
164,6.8,45,1,1,1,1,245,high
165,6.8,36,0,1,1,0,253,high
166,6.6,37,1,0,1,0,255,high
167,6.5,38,1,1,1,1,255,high
168,6.7,38,1,0,1,0,255,high
169,6.6,43,1,0,1,1,250,high
170,6.8,45,0,1,1,1,255,high
171,6.6,38,1,0,1,0,255,high
172,6.8,45,0,1,1,1,255,high
